,Fonte,Sexo,Local,Taxa de desocupação,Nível da ocupação,Participação,Renda habitual total,Renda habitual principal,Renda efetiva total,Renda efetiva principal
194,2° Tri. 2021,Mulher,Ceará,20.09,33.2,41.55,1882.88,1841.22,1823.23,1775.92
195,2° Tri. 2021,,Nordeste,18.48,43.51,53.37,2136.7,2070.1,2092.53,2026.12
196,2° Tri. 2021,Homem,Nordeste,15.01,55.02,64.73,2248.46,2183.34,2199.66,2135.5
197,2° Tri. 2021,Mulher,Nordeste,23.25,32.98,42.97,1960.56,1891.61,1923.68,1853.71
198,3° Tri. 2021,,Brasil,12.65,53.97,61.79,3053.26,2958.7,3067.1,2976.81
199,3° Tri. 2021,Homem,Brasil,10.13,64.75,72.05,3324.48,3229.29,3332.18,3241.89
200,3° Tri. 2021,Mulher,Brasil,15.89,43.93,52.23,2673.24,2579.53,2695.69,2605.37
201,3° Tri. 2021,,Ceará,12.47,46.48,53.11,2153.52,2088.84,2169.38,2104.12
202,3° Tri. 2021,Homem,Ceará,10.17,57.28,63.77,2278.03,2223.48,2303.46,2248.0
203,3° Tri. 2021,Mulher,Ceará,15.52,36.7,43.45,1974.28,1895.09,1976.38,1897.08
204,3° Tri. 2021,,Nordeste,16.42,45.59,54.54,2065.7,1992.61,2072.55,1999.88
205,3° Tri. 2021,Homem,Nordeste,13.23,56.97,65.65,2163.56,2097.59,2167.98,2103.62
206,3° Tri. 2021,Mulher,Nordeste,20.71,35.21,44.41,1917.23,1833.32,1927.79,1842.46
207,4° Tri. 2021,,Brasil,11.15,55.47,62.43,2944.84,2860.84,3029.09,2946.41
208,4° Tri. 2021,Homem,Brasil,9.03,65.96,72.5,3218.69,3133.03,3300.39,3217.68
209,4° Tri. 2021,Mulher,Brasil,13.85,45.7,53.05,2569.85,2488.08,2657.61,2574.9
210,4° Tri. 2021,,Ceará,11.11,46.95,52.82,2104.8,2051.61,2111.35,2056.88
211,4° Tri. 2021,Homem,Ceará,10.3,56.92,63.46,2218.11,2175.47,2212.17,2168.86
212,4° Tri. 2021,Mulher,Ceará,12.19,37.84,43.09,1945.78,1877.77,1969.84,1899.72
213,4° Tri. 2021,,Nordeste,14.77,46.76,54.86,1998.36,1929.1,2027.8,1959.24
214,4° Tri. 2021,Homem,Nordeste,12.23,57.94,66.02,2103.13,2037.93,2126.03,2063.67
215,4° Tri. 2021,Mulher,Nordeste,18.19,36.55,44.68,1842.44,1767.08,1881.6,1803.76
216,1° Tri. 2022,,Brasil,11.14,55.09,62.0,2987.85,2911.78,3263.67,3184.55
217,1° Tri. 2022,Homem,Brasil,9.12,65.54,72.12,3270.4,3191.24,3545.53,3465.48
218,1° Tri. 2022,Mulher,Brasil,13.72,45.36,52.57,2601.11,2529.2,2877.89,2799.97
219,1° Tri. 2022,,Ceará,11.08,45.02,50.64,2034.48,1997.87,2171.31,2134.53
220,1° Tri. 2022,Homem,Ceará,9.98,54.74,60.81,2145.07,2100.18,2282.78,2238.45
221,1° Tri. 2022,Mulher,Ceará,12.54,36.26,41.46,1882.39,1857.2,2018.02,1991.65
222,1° Tri. 2022,,Nordeste,14.99,46.25,54.4,1997.5,1936.1,2148.95,2084.12
223,1° Tri. 2022,Homem,Nordeste,12.54,57.34,65.56,2109.15,2048.65,2244.24,2182.5
224,1° Tri. 2022,Mulher,Nordeste,18.27,36.19,44.28,1832.38,1769.59,2008.03,1938.56
225,2° Tri. 2022,,Brasil,9.3,56.7,62.52,3017.26,2929.44,3049.46,2963.34
226,2° Tri. 2022,Homem,Brasil,7.54,66.99,72.46,3321.2,3227.84,3361.1,3269.14
227,2° Tri. 2022,Mulher,Brasil,11.54,47.12,53.27,2607.77,2527.32,2629.59,2551.26
228,2° Tri. 2022,,Ceará,10.38,47.14,52.6,2026.86,1960.1,2008.62,1943.37
229,2° Tri. 2022,Homem,Ceará,9.06,56.57,62.2,2130.07,2054.36,2109.49,2035.2
230,2° Tri. 2022,Mulher,Ceará,12.11,38.41,43.7,1884.44,1830.02,1869.43,1816.64
231,2° Tri. 2022,,Nordeste,12.72,47.84,54.81,2007.81,1933.87,2002.95,1930.38
232,2° Tri. 2022,Homem,Nordeste,10.5,58.76,65.65,2138.38,2059.0,2126.79,2049.29
233,2° Tri. 2022,Mulher,Nordeste,15.68,37.87,44.92,1818.04,1752.02,1822.97,1757.57
234,3° Tri. 2022,,Brasil,8.69,57.17,62.61,3128.33,3032.33,3141.91,3046.86
235,3° Tri. 2022,Homem,Brasil,6.91,67.45,72.46,3433.27,3329.49,3444.53,3341.39
236,3° Tri. 2022,Mulher,Brasil,10.94,47.6,53.44,2719.44,2633.83,2736.12,2651.88
237,3° Tri. 2022,,Ceará,8.6,48.4,52.95,2165.97,2081.53,2183.13,2100.74
238,3° Tri. 2022,Homem,Ceará,7.99,58.54,63.62,2344.92,2254.6,2369.1,2280.68
239,3° Tri. 2022,Mulher,Ceará,9.43,39.03,43.09,1914.23,1838.01,1921.52,1847.56
240,3° Tri. 2022,,Nordeste,11.96,48.4,54.98,2099.0,2005.76,2090.65,1999.98
241,3° Tri. 2022,Homem,Nordeste,9.99,59.39,65.98,2215.34,2119.02,2198.95,2105.63
242,3° Tri. 2022,Mulher,Nordeste,14.6,38.39,44.95,1930.87,1842.07,1934.13,1847.29
243,4° Tri. 2022,,Brasil,7.94,57.1,62.03,3184.08,3092.15,3307.81,3218.14
244,4° Tri. 2022,Homem,Brasil,6.45,67.33,71.97,3517.08,3419.32,3643.81,3549.52
245,4° Tri. 2022,Mulher,Brasil,9.83,47.58,52.77,2738.65,2654.47,2858.38,2774.84
246,4° Tri. 2022,,Ceará,7.84,48.63,52.76,2007.7,1936.85,2032.41,1962.78
247,4° Tri. 2022,Homem,Ceará,7.62,58.43,63.25,2114.86,2043.22,2135.86,2065.71
248,4° Tri. 2022,Mulher,Ceará,8.13,39.65,43.15,1860.53,1790.77,1890.33,1821.42
249,4° Tri. 2022,,Nordeste,10.89,48.5,54.43,2112.43,2034.49,2153.12,2074.96
250,4° Tri. 2022,Homem,Nordeste,9.13,59.35,65.32,2209.49,2137.58,2243.69,2172.1
251,4° Tri. 2022,Mulher,Nordeste,13.25,38.57,44.46,1972.61,1885.97,2022.65,1935.01
252,1° Tri. 2023,,Brasil,8.79,56.09,61.49,3203.72,3115.17,3490.81,3401.73
253,1° Tri. 2023,Homem,Brasil,7.24,66.28,71.46,3505.41,3414.18,3788.34,3698.29
254,1° Tri. 2023,Mulher,Brasil,10.76,46.6,52.22,2798.31,2713.34,3091.01,3003.19
255,1° Tri. 2023,,Ceará,9.61,46.36,51.29,2129.04,2020.13,2290.99,2182.96
256,1° Tri. 2023,Homem,Ceará,9.35,56.3,62.11,2258.83,2134.62,2439.69,2317.51
